rid,vid,owner,address,zip
T6620,6620,NORTH KING CAB COMPANY,4626 W. CORNELIA AVE.,60641
T1642,1642,ARM TAXI INC.,4020 W. GLENLAKE AVE.,60646
T873,873,CHITOWN CAB INC. #V,4020 W. GLENLAKE AVE.,60646
T4086,4086,CHICAGO MEDALLION ONE LLC.,9696 W. FOSTER AVE.,60656
T437,437,MCCAB VIII CORP.,4626 W. CORNELIA AVE.,60641
T24,24,SOPHIE TAXI LLC,4175 N. ELSTON AVE.,60618
T805,805,"CHICAGO POLO V, INC.",2617 S. WABASH AVE.,60616
T2731,2731,JIMMY 53 TRANS INC,9696 W. FOSTER AVE.,60656
T4277,4277,TEJ CAB CO. INC.,4626 W. CORNELIA AVE.,60641
T1081,1081,DRISS COMPANY,2601 W. PETERSON AVE.,60659
T4175,4175,"LEMPIRA, INC.",2601 W. PETERSON AVE.,60659
T5600,5600,"TAXI MEDALLION GROUP, LLC SERIES 31",4175 N. ELSTON AVE.,60618
T4295,4295,SNOWCAT TAXI LLC,2532 W. WARREN BLVD.,60612
T6083,6083,AASIA ENTERPRISES INC,2532 W. WARREN BLVD.,60612
T4432,4432,TURBINA TRANS INC,2601 W. PETERSON AVE.,60659
T4203,4203,ROSEL B CAB,9696 W. FOSTER AVE.,60656
T4614,4614,CHICAGO MEDALLION FOUR LLC.,9696 W. FOSTER AVE.,60656
T1336,1336,SAIYED CAB CO,9696 W. FOSTER AVE.,60656
T5919,5919,KOWSAR TAXI CORP,6550 N. CLARK ST.,60626
T3751,3751,"BSB TRANS, INC.",2601 W. PETERSON AVE.,60659
T2952,2952,TABU TAXI CORP.,4118 W. LAWRENCE AVE.,60630
T1041,1041,T & R CAB CO,9696 W. FOSTER AVE.,60656
T900,900,"TAXI MEDALLION GROUP,LLC-SERIES XIX",4175 N. ELSTON AVE.,60618
T4825,4825,DXPB LLC,9696 W. FOSTER AVE.,60656
T752,752,BADU COMPANY INC,3351 W. ADDISON ST.,60618
T4826,4826,"LUCKY SEVEN CHICAGO TWO, INC.",2617 S. WABASH AVE.,60616
T1461,1461,SKAMPA INC.,2601 W. PETERSON AVE.,60659
T2723,2723,SIKA INC.,2601 W. PETERSON AVE.,60659
T4985,4985,MIR HUSSAIN CAB CORP,6550 N. CLARK ST.,60626
T5942,5942,ABDI ALI NUGAAL CO.,3351 W. ADDISON ST.,60618
T811,811,"SHAUN LOVES CHICAGO, INC.",2617 S. WABASH AVE.,60616
T2339,2339,ASSETS INVESTMENT INC,3302 W. GLENLAKE AVE.,60659
T4886,4886,"HANNA CAB, INC.",6550 N. CLARK ST.,60626
T2207,2207,MASKAB INC,2028 W. CONCORD PL.,60647
T4023,4023,TRI STATE CAB CORP.,3351 W. ADDISON ST.,60618
T2920,2920,TEGORBA CAB CORP,6550 N. CLARK ST.,60626
T6107,6107,STEFANIE AND ANDREW CAB CORP.,3351 W. ADDISON ST.,60618
T4913,4913,MBD CAB CO,3351 W. ADDISON ST.,60618
T3425,3425,SOMOZA EDOUARD,1341 W. THORNDALE AVE.,60660
T1800,1800,AD & GIU EXPRESS CORP.,9696 W. FOSTER AVE.,60656
T4015,4015,ST MICHAEL CORP,6550 N. CLARK ST.,60626
T5928,5928,SENAIT AND YOSEIF CAB CORP.,5416 N. BROADWAY ST.,60640
T1134,1134,CRAZY JEFFREY CAB CORP,2617 S. WABASH AVE.,60616
T5399,5399,MIDWEST RIDE INC,5416 N. BROADWAY,60640
T5289,5289,SUAD & DEAN INC,6550 N. CLARK ST.,60626
T4205,4205,IMAGE TAXICAB INC,3351 W. ADDISON ST.,60618
T3469,3469,YAQEEN CAB CO,2202 N. ROCKWELL ST.,60647
T1231,1231,FAST CAB COMPANY,4175 N. ELSTON AVE.,60618
T5386,5386,"SHWAIKI, INC.",4118 W. LAWRENCE AVE.,60630
T2656,2656,LYLE CAB COMPANY,4626 W. CORNELIA AVE.,60641
T2439,2439,SURANI INC,2601 W. PETERSON AVE.,60659
T697,697,NECT 32 LLC,6500 N. WESTERN AVE.,60645
T791,791,MUNICH TAXI LLC,4536 N. ELSTON AVE.,60630
T5838,5838,"FRANCIS KING BOAT, INC.",3351 W. ADDISON ST.,60618
T3581,3581,TITO'S TAXI CO,8001 S. DR MARTIN LUTHER KING JR DR.,60619
T3702,3702,RAMA TAXI CORP.,5416 N. BROADWAY,60640
T1203,1203,OZITO CORP,9696 W. FOSTER AVE.,60656
T5074,5074,AHZMI INC,5765 N. LINCOLN AVE.,60659
T2168,2168,K BAKALOV CAB CO.,6500 N. WESTERN AVE.,60645
T4158,4158,CHICAGO SEVEN INC,2617 S. WABASH AVE.,60616
T1720,1720,KASHIF INC.,3351 W. ADDISON ST.,60618
T6438,6438,"HABTOM, INC",6550 N. CLARK ST.,60626
T2227,2227,R & A CAB INC,2601 W. PETERSON AVE.,60659
T5824,5824,SELAM TAXI CORP.,6550 N. CLARK ST.,60626
T5491,5491,WESTERN GREEN CAB CO,9696 W. FOSTER AVE.,60656
T5363,5363,AMEEN CAB INC.,2945 W. PETERSON AVE.,60659
T3429,3429,ORANGE CAB CO,3351 W. ADDISON ST.,60618
T4360,4360,WAHIDA CORP.,4118 W. LAWRENCE AVE.,60630
T3308,3308,JFK TRANSPORT SERVICE  INC,9696 W. FOSTER AVE.,60656
T6436,6436,TAXI MEDALLION GROUP LLC - SERIES 33,4175 N. ELSTON AVE.,60618
T6157,6157,ADE TAXI CORP,3351 W. ADDISON ST.,60618
T3618,3618,"KUKULU TRAVEL, INC.",6550 N. CLARK ST.,60626
T2327,2327,ANAM ENTERPRISES INC,9696 W. FOSTER AVE.,60656
T3367,3367,M NOOR LLC,6510 N. MOZART ST.,60645
T6645,6645,SLOBOMIR KAPUR CORP,9696 W. FOSTER AVE.,60656
T1400,1400,"SUFIAN, INC.",3351 W. ADDISON ST.,60618
T3802,3802,ITHAKA CAB CORP,2945 W. PETERSON AVE.,60659
T4260,4260,4260 CAB CORPORATION,2800 W. PETERSON AVE.,60659
T4599,4599,JADE AND JUDY INC,4626 W. CORNELIA AVE.,60641
T6439,6439,DANKUR INC.,6550 N. CLARK ST.,60626
T6328,6328,NANEFFE INC.,4626 W. CORNELIA AVE.,60641
T3493,3493,RAS CAB CO,3351 W. ADDISON ST.,60618
T4814,4814,TAXI MEDALLION GROUP LLC SERIES 27,4175 N. ELSTON AVE.,60618
T4387,4387,LM CAB INC.,9696 W. FOSTER AVE.,60656
T3782,3782,FARINA CAB INC,2601 W. PETERSON AVE.,60659
T5040,5040,CHATHA ENTERPRISES INC,4626 W. CORNELIA AVE.,60641
T1944,1944,LIGHT BREEZE CAB CORP.,2617 S. WABASH AVE.,60616
T506,506,13C TAXI INC,3351 W. ADDISON ST.,60618
T4117,4117,SENAIT MEBRAHTU,6221 N. SPRINGFIELD AVE.,60659
T5186,5186,ASK TEHRAN CAB CO.,9696 W. FOSTER AVE.,60656
T6903,6903,TRI STATE CAB CORP.,3351 W. ADDISON ST.,60618
T6919,6919,BIBLIAN TAXI INC.,2601 W. PETERSON AVE.,60659
T4398,4398,J K T CAB CO,4020 W. GLENLAKE AVE.,60646
T5813,5813,"TAXI MEDALLION GROUP, LLC - SERIES I",4175 N. ELSTON AVE.,60618
T2483,2483,"ABRON CAB COMPANY, INC.",9696 W. FOSTER AVE.,60656
T2010,2010,KALIB 2010 INC.,6255 N. MAPLEWOOD AVE.,60659
T157,157,D & G CAB CORP,2617 S. WABASH AVE.,60616
T984,984,NECT 39 LLC,6500 N. WESTERN AVE.,60645
T830,830,SKYVIEW CAB CORP.,3351 W. ADDISON ST.,60618
T6067,6067,MANAL INC,2601 W. PETERSON AVE.,60659
T2417,2417,ARSEE CAB CO,4626 W. CORNELIA AVE.,60641
T3457,3457,ELBA INC,850 W. EASTWOOD AVE.,60640
T4561,4561,IL 5 CORP.,3801 N. ELSTON AVE.,60618
T1095,1095,CHICAGO MEDALLION SIX LLC.,9696 W. FOSTER AVE.,60656
T4854,4854,RABIA 2018 INC.,9696 W. FOSTER AVE.,60656
T4898,4898,E & E TAXI COMPANY,9696 W. FOSTER AVE.,60656
T2246,2246,ORREGO CORPORATION,4626 W. CORNELIA AVE.,60641
T1272,1272,SINGH TAXI CO,9696 W. FOSTER AVE.,60656
T5081,5081,TAKOR & CO. LTD,3351 W. ADDISON ST.,60618
T4343,4343,SEKHON TRANSIT INC,3351 W. ADDISON ST.,60618
T364,364,NECT 31 LLC,6500 N. WESTERN AVE.,60645
T11,11,ZUBI INC.,3351 W. ADDISON ST.,60618
T3876,3876,KSR CAB INC.,4536 N. ELSTON AVE.,60630
T5453,5453,ARUBA & HUMAYUN INC.,3351 W. ADDISON ST.,60618
T5768,5768,HYDRA CAB CORP,2945 W. PETERSON AVE.,60659
T1500,1500,VICTORY VENTURES CORP,3351 W. ADDISON ST.,60618
T4188,4188,CHICAGO SEVEN INC,2617 S. WABASH AVE.,60616
T234,234,JNJJ.RASCON INC,9696 W. FOSTER AVE.,60656
T6047,6047,S & R TAXI CO,3351 W. ADDISON ST.,60618
T6499,6499,POSEIDON CAB CORP,2945 W. PETERSON AVE.,60659
T2976,2976,BELL CAB CO,9696 W. FOSTER AVE.,60656
T2224,2224,"BOLAKO, INC",2601 W. PETERSON AVE.,60659
T4542,4542,4542 TAXI INC,4118 W. LAWRENCE AVE.,60630
T6378,6378,POTALA CAB COMPANY,4626 W. CORNELIA AVE.,60641
T2242,2242,SUSU TAXI INC,3351 W. ADDISON ST.,60618
T4393,4393,IL 5 CORP.,3801 N. ELSTON AVE.,60618
T1172,1172,SOUTHWEST CAB INC.,9696 W. FOSTER AVE.,60656
T4856,4856,ABDELKADER BOUABDALLAOUI,5242 W. MONTROSE AVE.,60641
T5708,5708,EDEN KELETA CAB CORP,6550 N. CLARK ST.,60626
T3052,3052,ACCURATE TAXI INC,4626 W. CORNELIA AVE.,60641
T3211,3211,PARAMJIT ENTERPRISES INC,3351 W. ADDISON ST.,60618
T1942,1942,"FLAZ LIMO AND TAXI, INC",9696 W. FOSTER AVE.,60656
T3592,3592,"CHICAGO MEDALLION NINE, LLC",9696 W. FOSTER AVE.,60656
T3591,3591,CHUKS CAB CORPORATION,5765 N. LINCOLN AVE.,60659
T5580,5580,SUPER AMERICA CAB COMPANY,9696 W. FOSTER AVE.,60656
T551,551,NECT 48 LLC,6500 N. WESTERN AVE.,60645
T2134,2134,FIRST CIVIC CORP,9696 W. FOSTER AVE.,60656
T6323,6323,OYIME INVESTMENT CORPORATION,3351 W. ADDISON ST.,60618
T4132,4132,RUFINO RODRIGUEZ,3403 W. BEACH AVE.,60651
T6933,6933,SANTORINI THREE CAB CORP.,4536 N. ELSTON AVE.,60630
T4748,4748,ABNER GORDON INC,4118 W. LAWRENCE AVE.,60630
T3957,3957,BORHAN INC,2800 W. PETERSON AVE.,60659
T272,272,C K A CORP,3351 W. ADDISON ST.,60618
T5330,5330,W TAXI INC.,3351 W. ADDISON ST.,60618
T3372,3372,"CALI CAB, INC.",3351 W. ADDISON ST.,60618
T6007,6007,BAZZ INC.,4626 W. CORNELIA AVE.,60641
T5532,5532,"REX 6, INC.",6500 N. WESTERN AVE.,60645
T5765,5765,BRIGHT TAXICAB INC.,2601 W. PETERSON AVE.,60659
T5773,5773,FOUR STAR TAXI CORP.,4536 N. ELSTON AVE.,60630
T1450,1450,"TAXI MEDALLION GROUP, LLC - SERIES I",4175 N. ELSTON AVE.,60618
T4245,4245,NEW PISCES INC.,6500 N. WESTERN AVE.,60645
T5794,5794,FNB CORP,9696 W. FOSTER AVE.,60656
T6106,6106,SCOTT F MADSON,4626 W. CORNELIA AVE.,60641
T41,41,NECT 19 LLC,6500 N. WESTERN AVE.,60645
T2877,2877,EDEN CAB CO INC,4626 W. CORNELIA AVE.,60641
T4931,4931,ARMITAGE TAXI LLC,4536 N. ELSTON AVE.,60630
T2925,2925,LEMAJ INC,2800 W. PETERSON ST.,60618
T5563,5563,ANS TAXI INC,5416 N. BROADWAY,60640
T2764,2764,BOK RYE LEE,3521 N. SOUTHPORT AVE.,60657
T3650,3650,CITY TAXI INC.,4536 N. ELSTON AVE.,60630
T2213,2213,HAN'S CAB CO.,4020 W. GLENLAKE AVE.,60646
T2957,2957,SYED M ZAIDI,6236 N. RICHMOND ST.,60659
T1555,1555,CH. TAXI I CORP.,3351 W. ADDISON ST.,60618
T285,285,DANKUR INC.,6550 N. CLARK ST.,60626
T2436,2436,"I & B MIDWEST ENTERPRISE, INC.",2617 S. WABASH AVE.,60616
T2082,2082,KAZANLAK CAB CO,4020 W. GLENLAKE AVE.,60646
T1795,1795,VOHRA ENTERPRISES INC,5200 N. OTTO AVE.,60656
T3822,3822,THE HIGHSIERRA INC,4118 W. LAWRENCE AVE.,60630
T4164,4164,REX 3 INC.,6500 N. WESTERN AVE.,60630
T6289,6289,WICKER PARK CAB LLC,4536 N. ELSTON AVE.,60630
T2742,2742,SHAYAN CAB CO,9696 W. FOSTER AVE.,60656
T6959,6959,JEEG CAB CORPORATION,9696 W. FOSTER AVE.,60656
T958,958,NECT 47LLC,6500 N. WESTERN AVE.,60645
T1999,1999,ANTISAMOS CAB CO,2945 W. PETERSON AVE.,60659
T1074,1074,SOHA TAXI INC,4118 W. LAWRENCE AVE.,60630
T4383,4383,AL BURRAQ INC,2601 W. PETERSON AVE.,60659
T1311,1311,AOTMID CORP.,3351 W. ADDISON ST.,60618
T4679,4679,RUKH CAB CO,9696 W. FOSTER AVE.,60656
T1840,1840,"J.R.J. EXPRESS, INC.",4118 W. LAWRENCE AVE.,60630
T2354,2354,DOLPHIN CAB INC,6311 N. TALMAN AVE.,60659
T4810,4810,"COKAB, INC.",9696 W. FOSTER AVE.,60656
T2200,2200,STENO CAB CO,6550 N. CLARK ST.,60626
T4112,4112,WESMOLAND INC,2028 W. CONCORD PL.,60647
T4258,4258,4258 TAXI CORP.,4626 W. CORNELIA AVE.,60641
T3919,3919,G A F A CAB CO,3351 W. ADDISON ST.,60618
T5273,5273,ABREHET GEBREHIWOT,6550 N. CLARK ST.,60626
T5879,5879,JAWAID SIDDIQI CORP,3351 W. ADDISON ST.,60618
T6068,6068,S.K.F. CORPORATION,3351 W. ADDISON ST.,60618
T3011,3011,JBL CAB INC,1914 W. PRATT BLVD.,60626
T6319,6319,AC MILAN CORP.,9696 W. FOSTER AVE.,60656
T4122,4122,IYASSU INC,6550 N. CLARK ST.,60626
T445,445,SAHER CAB CO,3351 W. ADDISON ST.,60618
T5328,5328,NORTH KING CAB COMPANY,4626 W. CORNELIA AVE.,60641
T2421,2421,SINGH USA INC.,4118 W. LAWRENCE AVE.,60630
T4942,4942,SUNLIGHT CAB CO,6500 N. WESTERN AVE.,60645
T1928,1928,NEW AMSTERDAM LEASING CORP.,3351 W. ADDISON ST.,60618
T6322,6322,ALIKHLAS INC,3351 W. ADDISON ST.,60618
T2371,2371,NEXTGEN TAXI I INC,9696 W. FOSTER AVE.,60656
T2052,2052,"ADRIANA TAXI CAB, CO",3351 W. ADDISON ST.,60618
T2084,2084,VEGAS CORP,4626 W. CORNELIA AVE.,60641
T3094,3094,G L B CAB CO,510 W. BELMONT AVE.,60657
T3531,3531,DIANA MANAGEMENT LLC,4536 N. ELSTON AVE.,60630
T5590,5590,"TAXI MEDALLION GROUP, LLC SERIES 31",4175 N. ELSTON AVE.,60618
T6826,6826,TAXI MEDALLION GROUP LLC-SERIES 38,4175 N. ELSTON AVE.,60618
T6565,6565,O'KSONS HOLDINGS COMPANY,6550 N. CLARK ST.,60626
T729,729,NECT 32 LLC,6500 N. WESTERN AVE.,60645
T5354,5354,SAFE TAXI COMPANY,3351 W. ADDISON ST.,60618
T2317,2317,FIZZA INC.,4020 W. GLENLAKE AVE.,60646
T4594,4594,SURROO INC,3351 W. ADDISON ST.,60618
T968,968,Z & M RIDE INC,9696 W. FOSTER AVE.,60656
T3893,3893,ACUOMA INC,2601 W. PETERSON AVE.,60659
T1802,1802,AQUARIUS CAB INC.,6500 N. WESTERN AVE.,60645
T1225,1225,CASA BOUSSIF INC.,2601 W. PETERSON AVE.,60659
T6832,6832,FILE ZANI CORP.,2601 W. PETERSON AVE.,60659
T6740,6740,KRUSHA & ANERI INC.,4626 W. CORNELIA AVE.,60641
T839,839,"TRANS EURO, INC.",3351 W. ADDISON ST.,60618
T4663,4663,ADAM INC.,9696 W. FOSTER AVE.,60656
T675,675,JOHNS CABS CORP.,4536 N. ELSTON AVE.,60630
T4321,4321,WESTERN CAB CO,3351 W. ADDISON ST.,60618
T5416,5416,"KABHER, CORP.",2601 W. PETERSON AVE.,60659
T2824,2824,CHIGO-BENIN LLC,2242 W. FARWELL AVE.,60645
T4639,4639,MIKAURY TAXI CORP.,9696 W. FOSTER AVE.,60656
T5641,5641,ARMITAGE TAXI LLC,4536 N. ELSTON AVE.,60630
T2017,2017,ANY CAB CORP.,4536 N. ELSTON AVE.,60630
T595,595,SHIIL TRANSPORTATION CORP.,6108 N. ROCKWELL ST.,60659
T2112,2112,SAIM SARWAR CORP.,3351 W. ADDISON ST.,60618
T2924,2924,SARATOGA TAXI LLC,4536 N. ELSTON AVE.,60630
T150,150,MCCAB VI CORP.,4626 W. CORNELIA AVE.,60641
T1218,1218,KYEREMAACHAKUS INC,3351 W. ADDISON ST.,60618
T319,319,CAPRICORN CAB INC,6500 N. WESTERN AVE.,60645
T4304,4304,SEKHON CAB CO INC,3351 W. ADDISON ST.,60618
T1180,1180,MAB CAB CO,4118 W. LAWRENCE AVE.,60630
T4833,4833,JIWANI INC,2532 W. WARREN BLVD.,60612
T61,61,HASRA CORP,3351 W. ADDISON ST.,60618
T1479,1479,RAINSTORM II HACKING CORP.,2617 S. WABASH AVE.,60616
T6205,6205,CHOICE ENTERPRISE INC.,6550 N. CLARK AVE.,60626
T6688,6688,"REX 6, INC.",6500 N. WESTERN AVE.,60645
T6750,6750,TAXI MEDALLION GROUP LLC-SERIES 37,4175 N. ELSTON AVE.,60618
T2335,2335,BANGA CAB CO.,4626 W. CORNELIA AVE.,60641
T2364,2364,"LUCKY SEVEN CHICAGO ONE, INC.",2617 S. WABASH AVE.,60616
T6545,6545,ERI TRANS INC.,4626 W. CORNELIA AVE.,60641
T4650,4650,MILOS CAB CORP,2945 W. PETERSON AVE.,60659
T5203,5203,H & S CERTIFIED INC,3351 W. ADDISON ST.,60618
T6459,6459,ALI PRINCE INC.,4118 W. LAWRENCE AVE.,60630
T674,674,DANIELLA CAB CORP.,2617 S. WABASH AVE.,60616
T6140,6140,LEMLEM EXPRESS INC.,6550 N. CLARK ST.,60626
T1449,1449,OIA CAB CORP.,4536 N. ELSTON AVE.,60630
T825,825,NECT 34 LLC,6500 N. WESTERN AVE.,60645
T1340,1340,SAMSOL INTERNATIONAL INC.,2601 W. PETERSON AVE.,60659
T1025,1025,PRIME TAXI CORP.,4626 W. CORNELIA AVE.,60641
T6429,6429,YELLOWSTONE CAB CORP,2601 W. PETERSON AVE.,60659
T196,196,DAMMA CAB CORP,2617 S. WABASH AVE.,60616
T6193,6193,AQRAMAR TAXI INC.,4301 W. MONTROSE AVE.,60641
T4319,4319,METRO GLOBAL INC,2945 W. PETERSON AVE.,60659
T2451,2451,IDEAL CAB COMPANY,4020 W. GLENLAKE AVE.,60646
T4941,4941,ONE CHATHA INC,3351 W. ADDISON ST.,60618
T3038,3038,MECHAL TAXI CORP.,6550 N. CLARK ST.,60626
T6894,6894,BBDR EXPRESS INC,5416 N. BROADWAY,60640
T1390,1390,MOON EXPRESS INC,4626 W. CORNELIA AVE.,60641
T3234,3234,GS CAB CO.,4020 W. GLENLAKE AVE.,60646
T6729,6729,SAMOS CAB CORP,2945 W. PETERSON AVE.,60659
T2800,2800,ALTHERAS CAB CORP,2945 W. PETERSON AVE.,60659
T4278,4278,TAXI MEDALLION GROUP LLC SERIES X,4175 N. ELSTON AVE.,60618
T6428,6428,CHICAGO MEDALLION FIVE LLC,9696 W. FOSTER AVE.,60656
T1404,1404,WE CAB CO.,2945 W. PETERSON AVE.,60659
T6454,6454,LIKISI INC.,4020 W. GLENLAKE AVE.,60646
T171,171,TRIBECA CAB CORP,4536 N. ELSTON AVE.,60630
T6553,6553,SPEEDY CAB CORP.,9696 W. FOSTER AVE.,60656
T5929,5929,CHOICE EXPRESS CORP,6550 N. CLARK ST.,60626
T5319,5319,"CHICAGO POLO VIII, INC.",2617 S. WABASH AVE.,60616
T2292,2292,G.F.G. CAB CO,9696 W. FOSTER AVE.,60656
T2778,2778,"SHATARAT CAB, INC.",9696 W. FOSTER AVE.,60656
T5552,5552,ZEEMAAN CORP.,9696 W. FOSTER AVE.,60656
T792,792,"CHICAGO POLO XI, INC.",2617 S. WABASH AVE.,60616
T2352,2352,NEXTGEN TAXI I INC,9696 W. FOSTER AVE.,60656
T4382,4382,BALACH & SHATAJ CAB CO,9696 W. FOSTER AVE.,60656
T1126,1126,AKAL TRANSPORT CORP,4020 W. GLENLAKE AVE.,60646
T1308,1308,YC22 LLC,3351 W. ADDISON ST.,60618
T1596,1596,CHEVRON TAXI INC,3351 W. ADDISON ST.,60618
T4125,4125,SKY CAB CORP,3351 W. ADDISON ST.,60618
T1209,1209,"CHICAGO POLO X, INC.",2617 S. WABASH AVE.,60616
T3096,3096,BIG CITY TAXI CORP.,4536 N. ELSTON AVE.,60630
T1729,1729,RKJ CAB CO,4020 W. GLENLAKE AVE.,60646
T5017,5017,RANA CAB INC,2601 W. PETERSON AVE.,60659
T976,976,NECT 38 LLC,6500 N. WESTERN AVE.,60645
T4234,4234,CHICAGO MEDALLION TWO LLC.,9696 W. FOSTER AVE.,60656
T4740,4740,KOKOB CAB CO.,2601 W. PETERSON AVE.,60659
T5146,5146,AMR CAB CORP.,3351 W. ADDISON AVE.,60618
T2726,2726,SAFE CAB COMPANY,4020 W. GLENLAKE AVE.,60646
T5557,5557,LAGOS & NIGER EXPRESS CORP,2601 W. PETERSON AVE.,60616
T867,867,GSI TRAVELS CORP.,3351 W. ADDISON ST.,60618
T2540,2540,"I & B MIDWEST ENTERPRISE, INC.",2617 S. WABASH AVE.,60616
T4127,4127,EEL TAXI CORP.,4118 W. LAWRENCE AVE.,60630
T2856,2856,1 SUPER STAR CAB CO,4626 W. CORNELIA AVE.,60641
T6706,6706,WHATEVER CAB CO,2617 S. WABASH AVE.,60616
T4223,4223,GUL CAB CORP,3351 W. ADDISON ST.,60618
T172,172,IL 8 CORP,3801 N. ELSTON AVE.,60618
T4406,4406,CHICAGO MEDALLION THREE LLC.,9696 W. FOSTER AVE.,60656
T5950,5950,P.K. CAB CO.,3351 W. ADDISON ST.,60618
T3766,3766,LISTERVEN INC,9696 W. FOSTER AVE.,60656
T1098,1098,TAXI FOR LESS INC,2800 W. PETERSON AVE.,60659
T1036,1036,NECT 42 LLC,6500 N. WESTERN AVE.,60645
T4532,4532,IONION TAXI SERVICE INC,9696 W. FOSTER AVE.,60656
T1603,1603,RYAN CAB CO,4640 N. SHERIDAN RD.,60640
T5396,5396,TAXI MEDALLIONGROUP LLCSERIESXXIX,3351 W. ADDISON ST.,60618
T5365,5365,BLESSING INC,5200 N. OTTO AVE.,60656
T4732,4732,MAUDE LAMY,1528 W. ESTES AVE.,60626
T1846,1846,J K T CAB CO,4020 W. GLENLAKE AVE.,60646
T5924,5924,3860 TAXI CORP,6550 N. CLARK ST.,60626
T101,101,J.B. 'S TAXI INC.,4626 W. CORNELIA AVE.,60641
T3558,3558,K & I ENTERPRISES INC,3351 W. ADDISON ST.,60618
T4460,4460,BELKIDS TAXI LLC,3351 W. ADDISON ST.,60618
T6108,6108,M & A TAXI CORPORATION,9696 W. FOSTER AVE.,60656
T2414,2414,NEW WINDY CITY TAXI INC,3351 W. ADDISON ST.,60618
T760,760,LUXURY RIDES LLC,2532 W. WARREN BLVD.,60612
T5973,5973,AKS CAB CO,4626 W. CORNELIA AVE.,60641
T5166,5166,MANZANAREZ INC,2945 W. PETERSON AVE.,60659
T1960,1960,AMPLE SUN CAB CORP.,2617 S. WABASH AVE.,60616
T528,528,N & F INC,2601 W. PETERSON AVE.,60659
T6138,6138,BRANDON INC.,4118 W. LAWRENCE AVE.,60630
T4904,4904,JOLY CAB CO,9696 W. FOSTER AVE.,60656
T3375,3375,A V CAB CORP,9696 W. FOSTER AVE.,60656
T5792,5792,TAXI MEDALLION GROUP LLC SERIES IX,4175 N. ELSTON AVE.,60618
T6569,6569,BURNEY INC,4020 W. GLENLAKE AVE.,60646
T988,988,LAKEFRONT TAXI INC.,3351 W. ADDISON,60618
T2467,2467,SUNSET TAXI CORP,5242 W. MONTROSE AVE.,60641
T3807,3807,FAST CAB COMPANY,4175 N. ELSTON AVE.,60618
T1238,1238,YC21 LLC,3351 W. ADDISON ST.,60618
T3483,3483,AYACH INC,3351 W. ADDISON ST.,60618
T4733,4733,CHICAGO MEDALLION FOUR LLC.,9696 W. FOSTER AVE.,60656
T6419,6419,ARBAB INC.,5200 N. OTTO AVE.,60656
T2205,2205,SHABERA CORP,9696 W. FOSTER AVE.,60656
T4014,4014,TAXI MEDALLION GROUP LLC SERIES XIV,4175 N. ELSTON AVE.,60618
T6668,6668,SAJA CORPORATION,3351 W. ADDISON ST.,60618
T5707,5707,DEFIANCE TAXI LLC,3351 W. ADDISON ST.,60618
T3767,3767,MORAN TAXI INC,3351 W. ADDISON ST.,60618
T5599,5599,EXPERIENCE CHICAGO INC.,4626 W. CORNELIA AVE.,60641
T4256,4256,NECT 5 INC,6500 N. WESTERN AVE.,60645
T4761,4761,"GARDEN CITY, INC.",2601 W. PETERSON AVE.,60659
T3598,3598,BELICAGO TAXI LLC,3351 W. ADDISON ST.,60618
T5005,5005,C K A CORP,3351 W. ADDISON ST.,60618
T284,284,CHICAGO SKY TAXI INC,3351 W. ADDISON ST.,60618
T2981,2981,MOHAN S MALLHI,2173 N. MOODY AVE.,60639
T2076,2076,GOLEMI TRANS INC,2601 W. PETERSON AVE.,60659
T5450,5450,STEPHEN OMOFONMWAN,2800 W. PETERSON RD.,60659
T5312,5312,MRS. TAXI INC,3351 W. ADDISON ST.,60618
T1255,1255,YC21 LLC,3351 W. ADDISON ST.,60618
T4546,4546,KHAWACHAN TRANS  INC,2601 W. PETERSON AVE.,60659
T5860,5860,LUCKY SEVEN CHICAGO THREE INC.,2617 S. WABASH AVE.,60616
T3806,3806,"NOORAMZI, INC.",2532 W. WARREN BLVD.,60612
T3045,3045,JAGANJAC TAXI CORP,6550 N. CLARK ST.,60626
T2486,2486,KAHSAY CAB CORP.,2601 W. PETERSON AVE.,60659
T5954,5954,AUGUST CAB CORP.,2617 S. WABASH AVE.,60616
T416,416,CHICAGO SEVEN INC,2617 S. WABASH AVE.,60616
T4699,4699,BAROMETER II HACKING CORP.,2617 S. WABASH AVE.,60616
T868,868,MEDALLION FUNDING CHICAGO CORP III,4536 N. ELSTON AVE.,60630
T2549,2549,"SIDDIQUI 7, INC.",3351 W. ADDISON ST.,60618
T6443,6443,"WALAD, INC.",2601 W. PETERSON AVE.,60659
T6194,6194,U CAB INC,3351 W. ADDISON ST.,60618
T6653,6653,RENNS INC,3351 W. ADDISON ST.,60618
T5537,5537,ADAMS TAXI LLC,4536 N. ELSTON AVE.,60630
T1234,1234,ASCEND INVESTMENTS INCORPORATED,3351 W. ADDISON ST.,60618
T5642,5642,ASHRAF CORP,4626 W. CORNELIA AVE.,60641
T602,602,KWANG CAB INC,4626 W. CORNELIA,60641
T5810,5810,SLSJETS V CAB CORP.,2617 S. WABASH AVE.,60616
T5948,5948,DIAMOND STAR TRANSPORTATION INC,326 W. 109TH PL.,60628
T5893,5893,TAXI MEDALLION GROUP LLC SERIES III,4175 N. ELSTON AVE.,60618
T2120,2120,PAAKWASI INC,3351 W. ADDISON ST.,60618
