account,ward,aid,business,address,zip
252141,23,NaN,JANINA BRYNIARSKA,6719 W ARCHER AVE,60638
252158,1,911,PENELOPE'S,1913 W DIVISION ST,60622
252175,46,NaN,GENERAL BEAUTY SUPPLY & NAIL CARE,3708 N BROADWAY,60613
252181,31,NaN,M & M CELLULAR INC.,5220 W DIVERSEY AVE,60639
252215,35,638,ROJO GUSANO,3830 W LAWRENCE AVE,60625
252223,44,NaN,"GLOBAL PARKING MANAGEMENT, INC.",952 W NEWPORT AVE,60657
252244,42,NaN,"MEDIALINK WORLDWIDE, INC.",541 N FAIRBANKS CT  1910,60611
252258,44,NaN,V P Salon,3321 N BROADWAY,60657
25226,2,829,ZEBRA LOUNGE,1220 N STATE PKWY 1ST,60610
252270,50,NaN,BABA CORP,2412` W DEVON AVE,60659
252271,37,775,B & I FAST FOOD INC,5267 W NORTH AVE,60639
252275,3,NaN,DOCTORS CHOICE HOME HEALTH,1345 S MICHIGAN AVE 1ST,60605
25228,40,639,ASSYRIAN AMERICAN ASSOCIATION,1618 W DEVON AVE 1,60660
252306,35,NaN,VILLASER TAIDE,4354 W ARMITAGE AVE,60639
252387,12,NaN,ACVARELAS UNISEX,2246 S KEDZIE AVE,60623
252409,39,NaN,GLOBE-TAXI-ASSOCIATION-INC,4118 W LAWRENCE AVE  100,60630
252414,19,NaN,BABY BRITE CLEANER'S LANDRY,10511 S WESTERN AVE,60643
252426,32,NaN,Brasil Legal,2153 N WESTERN AVE,60647
252434,23,NaN,ERIKA'S CORRAL WESTERNWARE,5220 S PULASKI RD,60632
252444,34,624,DISCOUNT DOLLAR PLUS,10634 S HALSTED ST 1ST,60628
252471,50,638,CANDLELIGHT,7452-7454 N WESTERN AVE,60645
252481,9,NaN,"MY HOUSE, YOUR HOUSE",605 E 103RD PL,60628
252584,23,NaN,SPARK AUTO PARTS 63RD INC,3512-3516 W 63RD ST,60629
252585,43,NaN,Dave's Records,2604 N CLARK ST,60614
252591,35,NaN,TERES FLOWERS & GIFTS,3406 W FULLERTON AVE 1,60647
252607,30,775,STAROPOLSKA DELI,3028 N MILWAUKEE AVE,60618
25262,27,NaN,ACE STYLINE,1747 W CARROLL AVE 1ST,60612
252631,44,NaN,ALLTOWN HVAC&R INC,1000 W DIVERSEY PKWY  3E,60614
252639,25,NaN,RIVER CITY CARWASH,800 S WELLS ST,60607
25264,11,NaN,VOGUE FABRICS,623 W ROOSEVELT RD 1ST,60607
252649,31,NaN,MAYA TECHNOLOGIES INC.,2525 N LARAMIE AVE,60639
25266,10,NaN,DANMARIE CABINET & SINK TOP CO,10332 S COMMERCIAL AVE,60617
252661,32,NaN,MIKE SHAN & COMPANY,2139 N DAMEN AVE,60647
252672,48,NaN,HERNANDEZ AUTO REPAIR,5447 N BROADWAY,60640
25270,8,NaN,GROBAN SUPPLY CO INC,9300 S DREXEL AVE  YARD,60619
252730,45,NaN,RICO MUSIC & DANCE,4821 W IRVING PARK RD,60641
25275,30,829,REGINA & JOE'S TAP,2988 N MILWAUKEE AVE 1ST,60618
252770,40,NaN,LANDMARK RECORDS,6526 N CLARK ST  201,60626
252831,47,NaN,SILVIA'S LAUNDORMAT,1965 W MONTROSE AVE 1,60613
25285,32,NaN,MONARCH STEEL CO,2464 N CLYBOURN AVE 1ST,60614
252850,20,NaN,WATSON CLEANERS,621 E 67TH ST,60637
252852,13,775,DUNKIN DONUTS,6925 S PULASKI RD,60629
25287,44,NaN,IMPERIAL STORE FIXTURES INC,3768 N CLARK ST 1ST,60613
252874,28,NaN,JOSEPH D. TIMM,1500 W MONROE ST,60607
252885,39,NaN,JOHN E. REID & ASSOCIATES INC.,6318 N CENTRAL AVE,60646
25289,11,NaN,"TRUCK TIRE SALES, INC",426 W PERSHING RD  1ST,60609
252896,1,NaN,"M D K Development, Inc.",1911 W RACE AVE,60622
25290,27,NaN,BERGER BROS INC,1176 N CHERRY AVE,60622
252918,49,NaN,MIDAS AUTO SYSTEMS EXPERTS,7501 N WESTERN AVE,60645
252963,3,NaN,ENSO YOGA & MARTIAL ARTS,1329 S MICHIGAN AVE,60605
253010,18,NaN,CAR-X AUTO SERVICE,7743 S CICERO AVE,60652
253011,21,NaN,LATANYA D. FOSTER-THOMAS,859 W 86TH PL,60620
253012,3,NaN,DESTER LYNN CORPORATION,451 E 41ST ST,60653
253015,8,NaN,SamTech,8342 S ELLIS AVE 201,60619
253033,40,775,DURAN'S PLACE,2617 W LAWRENCE AVE,60625
253050,47,NaN,Gold Star Cleaners,1619-1621 W MONTROSE AVE,60613
253052,40,NaN,HIS STUFF INC.,5314 N CLARK ST,60640
253086,42,720,Pediatric AIDS Chicago,501 N CLINTON ST  1803,60654
253114,22,NaN,KUKI'S BEAUTY SALON,3759 W 26TH ST  2ND,60623
253116,19,775,7 - ELEVEN,2421 W 103RD ST,60655
25312,32,NaN,JAN DEE JEWELRY,1425 W DIVERSEY PKWY  1ST,60614
253136,33,775,BURRITO HOUSE 2 INC,3145 W ADDISON ST,60618
253181,30,NaN,BELMONT PHARMACY,6148 W BELMONT AVE,60634
253184,3,NaN,BRIDES BUSINESS & INTERIORS,5410 S INDIANA AVE 1ST,60615
25321,14,NaN,MODERN GRAPHIC SYSTEMS INC,4922 S WESTERN AVE  1,60609
253236,32,NaN,IL Cane Dolce,2227 W BELMONT AVE,60618
25326,42,NaN,QUALITY JEWELRY INC,55 E WASHINGTON ST,60602
253291,10,NaN,CLASSIC ELECTRIC SUPPLY INC,9005 S BALTIMORE AVE,60617
253298,23,NaN,ALEX HAIR SALON,3449 W 59TH ST 1 1,60629
253314,26,NaN,CHRISTOPHER J PAQUETTE,2615 W SUPERIOR ST,60612
253318,25,NaN,Discoteca Riviera,2142 W CERMAK RD,60608
25334,20,NaN,NORMAN JEWELERS INC,6355 S HALSTED ST 1ST,60621
253364,42,775,CHICAGO EATS AND TREATS,233 S WACKER DR LL2,60606
253399,31,857,FULLERTON ANIMAL CLINIC P.C.,4303 W FULLERTON AVE 1ST,60639
253411,42,NaN,MIDWEST BENEFIT COMMUNICATIONS INC,330 S WELLS ST  1404,60606
253423,17,775,RIVER NILE RESTAURNAT,3259 W 63RD ST 1,60629
253428,42,NaN,RIVER WEST BRANDS LLC,648 W RANDOLPH ST  400,60661
253469,24,NaN,OLMOS AUTO SALES INC,2658 W CERMAK RD,60608
25347,3,NaN,RUBBER INC,2419 S MICHIGAN AVE  1,60616
25351,23,NaN,GOOD EARTH MARKET,6190 S ARCHER AVE # 1,60638
253517,46,720,REFUGEEONE,4753 N BROADWAY   401,60640
253539,33,763,NEW DOLLAR STORE PLUS,3184 N ELSTON AVE,60618
253572,15,864,"FLEISCHMANN'S VINEGAR COMPANY,INC.",4801 S OAKLEY AVE,60609
253617,32,NaN,DENISE'S,2500 N MILWAUKEE AVE  202,60647
253635,34,NaN,INSPIRED CREATIONS,10351 S EMERALD AVE 2ND,60628
253657,42,775,AVEC,615 W RANDOLPH ST,60661
253673,32,692,WASHING WELL,3010 N ASHLAND AVE,60657
25369,45,NaN,A J SMOY,5346 N NORTHWEST HWY 1ST,60630
253703,22,NaN,PULASKI GENERAL MERCHANDISE,4001 W OGDEN AVE,60623
25371,1,763,GRANDBAR,1600 W GRAND AVE 1ST,60622
253748,3,NaN,SHOE REPAIR,117 E 47TH ST,60653
253771,2,NaN,ELLEN F HAKE,70 W BURTON PL  407,60610
25382,33,NaN,INTERNATIONAL AUTO SERVICE,3056 W LAWRENCE AVE,60625
25387,1,NaN,FRANCISCO BURGAS,2407 W HOMER ST  1ST,60647
253873,42,NaN,J.S.B. INC,32 E ADAMS ST,60603
253919,17,NaN,TAMMIE'S PLEASURE SHACK,2341 W MARQUETTE RD,60636
25393,21,NaN,LOLLY-POP NURSERY AND KINDERGARTEN SCHOOL,1656 W 87TH ST 1ST,60620
253942,42,774,7-ELEVEN #33725,201 E OHIO ST,60611
253954,9,775,JJ'S TOP DOG,16 E 95TH ST,60619
253956,22,NaN,AZTECA INSURANCE GROUP,3635 W 31ST ST,60623
254000,2,NaN,BED BATH & BEYOND OF CALIFORNIA LLC,1800 N CLYBOURN AVE,60614
254008,43,775,ANGELA'S BURRITO STYLE,2556 N CLARK ST,60614
254010,4,775,NICKY'S CHINESE FOOD,5231 S WOODLAWN AVE,60615
25403,31,NaN,A CARING WORLD INC,4310 W FULLERTON AVE 1ST,60639
254036,42,720,THE CARA PROGRAM,703 W MONROE ST,60661
25405,12,NaN,TINO AND SON INC,3056 W 26TH ST,60623
254051,20,NaN,CHETOS APPLIANCES,5032 S ASHLAND AVE 1ST,60609
254064,11,NaN,ALPHA & OMEGA CONTRACTORS,2201 S HALSTED ST,60608
254122,15,NaN,FRENCHY TOWEL LAUNDRY,6532 S ASHLAND AVE,60636
254133,32,775,COAST SUSHI CORPORATION,2045 N DAMEN AVE 1ST,60647
25416,41,NaN,AAA MOLD FINISHERS,7208 W PRATT AVE  1ST,60631
254169,10,775,LAS DELICIAS,10530 S TORRENCE AVE,60617
254184,31,NaN,ALANTE FINANCIAL GROUP INC.,3002 N CICERO AVE,60641
254191,9,NaN,"""YO"" WAY HAIR SALON",20 E 112TH ST,60628
25420,8,829,SOMETHING KOOL COCKTAIL LOUNGE,8022-8024 S COTTAGE GROVE AVE,60619
25421,27,864,"WEINSTEIN WHOLESALE MEATS, INC.",1328 W RANDOLPH ST 1ST,60607
254223,35,775,EXPRESS DELI INC.,3937 W LAWRENCE AVE,60625
25423,24,NaN,DELICIAS ICE CREAM,2654 W CERMAK RD,60608
25424,40,NaN,NELSON-HARKINS INDUSTRIES,5301 N KEDZIE AVE,60625
25430,2,NaN,ASHLAND FUNERAL HOME,1237 N ASHLAND AVE 1ST,60622
254321,4,NaN,MOUTH PIECE OF THE ANCESTORS SIRIUS BOOKS,5206 S HARPER AVE,60615
254340,16,775,K & H SUPER STEAK AND HOAGY,5506 S ASHLAND AVE,60636
254365,42,NaN,FUSION CHAMBER,11 E HUBBARD ST  4A,60611
25437,22,NaN,FRANK MARIK & SONS FUNERAL H,2534 S PULASKI RD  1ST,60623
254398,12,NaN,JAIME RIVERA,2640 S KEDZIE AVE,60623
254434,40,NaN,ROSAS DESIGNS,5633 N ASHLAND AVE,60660
254451,50,NaN,STEVE KREATSOULAS,6418 N ALBANY AVE,60645
254465,1,723,ST. VOLODYMYR & OLHA UKRAINIAN CATHOLIC PARISH,2245 W SUPERIOR ST,60612
254469,41,NaN,RAINBOW NAILS II,7218-D W FOSTER AVE,60656
25451,11,NaN,MOORE FUNERAL HOME,2878 S THROOP ST 1ST,60608
254563,48,NaN,HOANG KIM,1025 W ARGYLE ST,60640
254577,24,NaN,TEXAS AUTO,1848 S PULASKI RD,60623
254599,33,NaN,SOURN VIDEO,3123 W LAWRENCE AVE,60625
254610,15,NaN,MARY'S BEAUTY SALON,2735 W POPE JOHN PAUL II DR,60632
254615,20,NaN,NAIL LOUNGE,552 E 63RD ST 1,60637
254622,43,NaN,DOROTHY MILLER GALLERY,2425 1/2 N CLARK ST,60614
254627,34,NaN,HOPKINS CONTRACTING CORP.,12033 S HALSTED ST,60628
254633,25,NaN,PLOTE CONSTRUCTION/ALLIED ASPHALT PAVING CO.,2424 S LAFLIN ST,60608
25464,14,709,SZYKOWNY FUNERAL HOME LTD,4901 S ARCHER AVE  1ST,60632
254667,27,775,TERRY'S FOOD MART INC,1408 N SEDGWICK ST,60610
254683,27,NaN,"JUMP TRADING, LLC",600 W CHICAGO AVE  825,60610
254693,42,775,SUBWAY SANDWICHES,335 S FRANKLIN ST,60606
25484,16,NaN,BURTON FUNERAL HOME,6217 S ASHLAND AVE  1ST,60636
25485,29,NaN,CAPPETTA FUNERAL HOME INC,5858 W ROOSEVELT RD,60644
25488,12,NaN,TITAN ORNAMENTAL IRON WORK INC,2239 W 35TH ST  1,60609
254881,6,NaN,ANOTHER BEAUTY HAIR WEAVING SALON,7306 S COTTAGE GROVE AVE,60619
254885,8,775,PARADISE SUPERMARKET INC,8101 S COTTAGE GROVE AVE,60619
254894,25,NaN,CYBER LAB,2306 S WENTWORTH AVE,60616
254921,25,NaN,MATA ELECTRONICS,2002 S WENTWORTH AVE,60616
25493,49,NaN,STARS INN LOUNGE,7030 N CLARK ST,60626
25495,15,NaN,LATINO FASHION,4640 S ASHLAND AVE,60609
254993,25,NaN,ESM LIMITED,1160 W 19TH PL  2,60608
254997,44,638,KUBO,1232 W BELMONT AVE 1,60657
25502,41,NaN,WALLY'S FLOORING INC,6691 N NORTHWEST HWY,60631
255036,41,775,Travel Traders #3081 @ Hilton O'hare,11601 W TOUHY AVE 1ST TERM 2,60666
25504,30,NaN,LINCOLN PROPERTY,3650 W DIVERSEY AVE  1ST,60647
255042,3,NaN,ABAN INC,4315 S STATE ST 2 201,60609
255044,42,NaN,AMERICAN INTERNET SOLUTIONS,216 W JACKSON BLVD  1050,60606
255098,28,NaN,PEOPLES LANDSCAPING,3306 W CONGRESS PKWY,60624
255128,30,NaN,ALES KOSINA CONSTRUCTION,2442 N MENARD AVE,60639
255166,31,775,Aquarius Club & Restaurant,2457-2459 N PULASKI RD,60639
25517,13,712,AAMCO TRANSMISSIONS,6435 S CICERO AVE  1,60638
255187,27,NaN,GRANDA LITURGICAL ARTS,939 W NORTH AVE  875,60622
255201,43,775,Solstice Cafe',2666 N HALSTED ST,60614
255222,39,NaN,CHICAGO CYBER CAFE,3220 W BRYN MAWR AVE,60659
255251,32,NaN,CAT'S EYE,2038 N DAMEN AVE,60647
255255,17,775,CHICAGO FRIED CHICKEN INC,7055 S DAMEN AVE,60636
25526,25,864,TROPICAL MEAT CO,1919 S LAFLIN ST 1ST,60608
255270,41,NaN,"CISCO SYSTEMS, INC.",8735 W HIGGINS RD  300,60631
255271,22,725,AIRPORT PARKING,4832 - 34 W 47TH ST,60638
255288,29,NaN,BUDGET  WASH,5920 W MADISON ST,60644
25529,31,NaN,THE HOUSE OF SAFETY INC,4418 W DIVERSEY AVE 1ST,60639
255313,5,775,SEE THRU CHINESE KITCHEN INC,6700 S STONY ISLAND AVE,60649
25532,22,829,MISKA'S,4044-4046 W 26TH ST 1ST,60623
255321,23,864,BEST FOOD SERVICES,7131 W 61ST ST,60638
25534,27,864,"B.B.M. PACKING CO., INC.",874 N MILWAUKEE AVE  1,60642
255359,1,763,B DOLLAR PLUS,1001 N WESTERN AVE,60622
25536,47,NaN,RUDY HABERNEGG,3541 N LINCOLN AVE 1ST,60657
255370,37,816,MR.  ANTHONY'S CLEANERS,5136 W CHICAGO AVE,60651
255388,18,775,CHICAGO CHEESE STEAK COMPANY,7759 S CICERO AVE,60652
255391,2,775,NOBLE PANTRY INC.,932 N NOBLE ST,60642
255395,2,775,7-ELEVEN,1349 W FULLERTON AVE,60614
255400,2,NaN,JOHN'S CLEANERS,1260 N DEARBORN ST,60610
255405,12,NaN,OLIVERA EXCAVATING & DEMOLITION,3225 S WESTERN AVE,60608
255429,31,NaN,GRANITE CITY CORPORATED,5041 W BELMONT AVE,60641
255443,33,638,FAVORITE CAFE,3256 W LAWRENCE AVE,60625
255471,27,763,"DRAKE FOOD MART, INC.",2748 W MADISON ST 1ST,60612
255472,38,NaN,ALWAYS HEATING & COOLING,6055 W IRVING PARK RD,60634
255509,47,763,AFFY SALES CONSULTING INC,4825 N WESTERN AVE  C,60625
25553,1,NaN,ELMAMEY LOUNGE,2645 W NORTH AVE 1,60647
255537,20,NaN,J-MART,1158 W 51ST ST,60609
255548,42,775,One Stop Mart,207 W JACKSON BLVD,60606
255555,32,NaN,"Sierra Auto Group, Inc.",2352 W BELMONT AVE,60618
255569,16,820,ALLISON'S INFANT & TODDLER CENTER,5522 S RACINE AVE,60636
255574,47,NaN,KINDERLAND MODA,4753 N LINCOLN AVE,60625
255588,6,NaN,WANDAMARIE B CRAWFORD,7036 S LOOMIS BLVD,60636
255589,42,NaN,CINGULAR WIRELESS,205 W MONROE ST,60606
25559,30,829,MARY'S BAR,5301 W NEWPORT AVE 1ST,60641
255592,8,NaN,NORTH STAR OASIS FOR URBAN YOURH INC.,1458 E 72ND ST,60619
255598,29,NaN,ANTHONY D CISTERNINO,3215 N NEVA AVE,60634
25564,39,639,CHICAGO LATVIAN ASSOCIATION,4146 N ELSTON AVE 1ST,60618
255667,3,NaN,PREMIER HEALTHLINK,4221 S WABASH AVE,60653
255697,1,775,PHILLY'S BEST EXPRESS,2436 N MILWAUKEE AVE,60647
255740,27,NaN,TISHA'S GARDEN,2841 W FIFTH AVE,60612
255746,32,775,CRENSHAW'S,2020 N LEAVITT ST,60647
255773,34,763,HOT SPOT ON HALSTED INC,10857 S HALSTED ST,60628
255803,40,NaN,FOSTER AVENUE BLEACH,1927 W FOSTER AVE,60640
25583,30,NaN,DUGAN'S TRANSMISSION CORP,3100 N LARAMIE AVE 1ST,60641
255902,13,NaN,YUDIT BUETY SALON,5904 W 63RD ST 1ST FL,60638
255905,4,NaN,"COMFORT MATTERS, INC",4528 S WOODLAWN AVE,60653
25591,50,850,PAK AMERICAN TRAVEL BUREAU INC,2900 W PETERSON AVE  1,60659
255914,42,NaN,AVAYA INC,160 E ILLINOIS ST  302,60611
255942,6,NaN,SANDRA AFRICAN HAIR BRAIDING,507 E 79TH ST,60619
255945,1,763,MARATHON,649 N ASHLAND AVE,60622
255954,9,NaN,"T & J  FOOD MARKET, INC.",418 E 107TH ST,60628
255965,39,NaN,PABLO'S FINE CARPENTRY,4036 N PULASKI RD  3B,60641
255999,6,NaN,FEFE AFRICAN HAIR,436 E 75TH ST,60619
25600,30,NaN,P & S AUTO REPAIRS INC,6002 W DIVERSEY AVE 1ST,60639
25601,42,NaN,WACKER APARTMENT HOTEL,111 W HURON ST 1ST,60610
25604,23,712,C & R TIRE & AUTOMOTIVE,6800 W 63RD ST,60638
256071,14,NaN,QUERUBINES KID'S WARE,3204 W 55TH ST,60632
256090,31,NaN,MR LEE DOLLAR,4205 W FULLERTON AVE  1,60639
256120,13,763,KILDARE & 67TH MARATHON,4300 W MARQUETTE RD,60629
256138,44,717,Pizza Panino's Inc.,3600 N HALSTED ST,60613
256175,46,648,3600 NORTH CLEANERS,3600 N LAKE SHORE DR 1ST,60613
256200,14,NaN,FRANCIA UNISEX,3315 1/2 W 55TH ST,60632
256239,20,NaN,HOUSE OF STYLE,6546 S COTTAGE GROVE AVE,60637
256244,13,775,MONICA'S PIZZA CORPORATION,6448 S PULASKI RD,60629
256249,16,NaN,J & M AUTO  REPAIR,1014 W 63RD ST,60621
256261,49,NaN,DENITA,7014 N CLARK ST,60626
256263,9,NaN,DOLLAR FUNCTIONS INC,319 E 103RD ST,60628
256274,22,NaN,DONALDO WESTERN WEAR,4119 W OGDEN AVE,60623
25631,35,712,GEORGE'S AUTO REPAIR,3209 W BARRY AVE  1ST,60618
256330,32,NaN,M. GRACE DESIGNS,2030 W WABANSIA AVE,60647
256333,41,NaN,PARAG  CREATION INC.,7200 W SEMINOLE ST,60631
256364,30,NaN,CELLULAR EXPRESS # 3,4758 W BELMONT AVE,60641
256386,26,NaN,SUPERIOR HOME HEALTH,4054 W NORTH AVE,60639
256390,2,NaN,IMPERIAL CLEANERS,1221 N DEARBORN ST,60610
25640,44,NaN,LAKE SHORE FLOWER SHOP,3140 N BROADWAY,60657
256457,14,775,MEXICAN RESTAURANT,4225 W 47TH ST,60632
256480,6,NaN,WMS GENERAL CONTRACTORS,7210 S WENTWORTH AVE,60621
256539,31,NaN,MILLENNIUM AUTO SALES,4541 W BELMONT AVE,60641
256551,24,NaN,IN GOD'S HANDS BEAUTY SALON,3616 W 16TH ST,60623
256590,30,763,CHICAGO COMMUNICATION,3206 - 3208 N CENTRAL AVE,60634
256592,31,775,NICK'S HI - HO CAFE,3134 N CICERO AVE,60641
25662,25,763,JODOS VARIETIES LTD,1840 S BLUE ISLAND AVE 1ST,60608
256631,42,NaN,THE MARTEC GROUP INC.,105 W ADAMS ST  2125,60603
25664,38,NaN,HENRY & PATRICK HUBERTY,7615 W IRVING PARK RD,60634
256656,1,NaN,C J & M LAUNDROMAT,3115 W ARMITAGE AVE,60647
25667,24,NaN,DAVID ARROYO,3018 W CERMAK RD,60623
256685,44,743,LAKESHORE THEATER,3175 N BROADWAY,60657
25670,27,816,WESLING PRODUCTS,2912 W LAKE ST 1ST,60612
256707,4,NaN,TYCOON INVESTMENT GROUP INC,3547 S DR MARTIN LUTHER KING JR DR,60653
25672,39,775,IDEAL COFEE SERVICE,6120 N PULASKI RD 1ST,60646
256758,3,864,KEELEY FOOD SERVICE,2530 S DEARBORN ST 1ST,60616
256774,8,NaN,REFLECTIONS,1645 E 87TH ST,60617
25680,3,732,SHELLY'S LOAN & JEWELRY CO,300 E 47TH ST 1ST,60653
256825,42,NaN,WET SEAL #775,7 N STATE ST,60602
25684,23,NaN,BEST NEON SIGN CO.,6025 S NEW ENGLAND AVE,60638
25692,47,NaN,LAKEVIEW AUTO PARTS,3912 N ASHLAND AVE 1ST,60613
256951,8,NaN,SOLO BEAUTY SUPPLY,8158 S COTTAGE GROVE AVE,60619
256960,1,775,RAMIREZ FAST FOOD,1521 W GRAND AVE,60642
256981,42,NaN,"CB RICHARD ELLIS, INC.",233 S WACKER DR  3530,60606
256999,28,NaN,JIREH AUTO SALES INC.,733 N CICERO AVE,60644
257015,49,NaN,ALL STATES CLEANERS,1362 W JARVIS AVE,60626
257016,4,NaN,INTERFACE ELECTRICAL CONTRACTORS,633 S PLYMOUTH CT  1-A,60605
25703,1,NaN,ROMAN TRAVEL SERVICE,921 N ASHLAND AVE,60622
25707,22,NaN,DRAKE TIRE,3519 W CERMAK RD 1ST,60623
257093,3,775,BRONZEVILLE-MAXWELL DELI,318 E 43RD ST,60653
257130,21,NaN,I AM ELECTRIC COMPANY,8437 S MAY ST,60620
257144,12,NaN,ALL FURNITURE DISTRUBUTORS,4545 S WESTERN BLVD,60609
25715,30,NaN,MANE MOTORS,3442 N MILWAUKEE AVE 1ST,60641
257161,45,NaN,ARROBA FILMS,5040-42 W MONTROSE AVE,60641
257181,12,NaN,DITTO'S ENTERPRISES LLC,2459 S HOMAN AVE,60623
257191,19,NaN,"ANCHOR STAFFING, INC.",9901 S WESTERN AVE,60643
257230,1,666,GRAND CITGO/ MR. SUB / DUNKIN DONUTS,1535 W GRAND AVE,60642
25725,19,711,KUREK BROS SERVICE CENTER INC,3425 W 111TH ST 1ST,60655
257258,27,864,MARKET PRODUCE,951 W RANDOLPH ST 1ST,60607
257266,31,775,MC DONALDS,3560 N CICERO AVE,60641
257284,36,NaN,HOLLYWOOD DOGS PROFESSIONAL CUTS,6106 W ADDISON ST,60634
257287,42,NaN,ZELDA ROBINSON COMMUNICATIONS,441 E ERIE ST  2101,60611
25733,16,NaN,EVANS FUNERAL HOME LTD,6453 S ASHLAND AVE  1ST,60636
257335,35,709,"MONICOORO HOME LOANS, INC.",3745 W MONTROSE AVE 1,60618
257361,8,NaN,LUCY'S MEDICAL SUPPLIES INC,8121 S COTTAGE GROVE AVE,60619
257415,8,NaN,"Nimrix, Inc.",9817 S INGLESIDE AVE,60628
257468,13,NaN,CHAS HEATING & AIR CONDITIONING,6336 S AUSTIN AVE,60638
257516,48,763,I & Y DOLLAR PLUS,1501 W DEVON AVE,60660
257535,3,638,ROME'S JOY CATERING INC.,4455 S DR MARTIN LUTHER KING JR DR 1,60653
257547,13,775,"SUNVIEW GROCERY & PRODUCE, INC.",6110 W 63RD ST 1ST,60638
257585,48,775,HONG XUONG BAKERY INC,1139 W ARGYLE ST,60640
25759,18,NaN,CORKY'S AUTOMOTIVE,8458 S PULASKI RD 1ST,60652
257613,42,NaN,THE BUSBANK,155 N WACKER DR 6 620,60606
257615,12,713,ARCHER AUTO GLASS,3956 S ARCHER AVE,60632
25768,27,NaN,ROJAS AUTO REBUILDERS CORP,3347 W CHICAGO AVE,60651
25769,6,NaN,WILLIAMS' HYDRO PLANTS,315 E 79TH ST 1ST,60619
257695,39,NaN,NICK'S CONSTRUCTION AND REMODELING,6301 N LEROY AVE,60646
257706,29,NaN,N'DA DOE RECORDS INC.,139 N MASON AVE 3RD,60644
25777,11,NaN,SPEEDWAY WRECKING CO INC,2808 S ELEANOR ST  1,60608
257778,9,NaN,GREGG'S BARBER & BEAUTY SALON,10646 S MICHIGAN AVE,60628
257789,7,NaN,SOUTHSHORE CONSTRUCTION INC.,7834 S SOUTH SHORE DR,60649
257797,33,NaN,SILVER LINING SERVICES,2705 W AGATITE AVE,60625
257858,37,NaN,Chicago Ave Foods,5142 W CHICAGO AVE,60651
257947,41,NaN,"PRESTIGE HOME HEALTH SERVICES, INC.",8618 W CATALPA AVE 1 1115,60656
25796,38,712,"TRANS-O-MATIC OF CHICAGO, INC",7301 W FOREST PRESERVE AVE,60634
25797,29,NaN,DANDRIDGE HARDWARE CENTER,326 N CENTRAL AVE 1ST,60644
258000,30,NaN,MAREK EMPLOYMENT AGENCY & AIR TICKET BROKER,5817 W DIVERSEY AVE,60639
258014,43,775,PARK PANTRY,816 W FULLERTON AVE,60614
258028,42,NaN,ALLY COMMERCIAL FINANCE LLC,500 W MADISON ST  3130,60661
258046,48,NaN,RENEE M. MILLER,6225 N WAYNE AVE,60660
25808,26,NaN,CENTRAL AUTO BODY REPAIR SHOP,3548 W NORTH AVE,60647
258143,42,NaN,SUNSET PUBLISHING CORPORATION,541 N FAIRBANKS CT 19,60611
25816,50,NaN,ACORN TIRE,6200 N LINCOLN AVE 1ST,60659
258197,36,793,IVAN AUTO SALES INC.,1844 N CICERO AVE,60639
258200,50,NaN,"FIRST WORLD MANAGEMENT SERVICES, INC",2809 W DEVON AVE,60659
258228,46,638,STRAWDOG THEATRE COMPANY,3829 N BROADWAY  2ND,60613
258240,39,NaN,MARIANA,4608 N ELSTON AVE,60630
258247,27,638,La Fette,163 W NORTH AVE,60610
25825,39,829,GAMBLERS,4906-4908 N PULASKI RD 1,60630
25826,29,NaN,LIM'S PANTRY FOOD & LIQUOR,5820-5822 W NORTH AVE 1ST,60639
258265,42,NaN,CORPORATE DEVELOPMENT OUTSOURCING,35 E WACKER DR  1500,60601
258276,30,775,TACO & BURRITO HOUSE,2430 N CENTRAL AVE,60639
258303,27,NaN,SUDZ COIN LAUNDRY,800 N KEDZIE AVE,60651
258308,28,NaN,WELDING SERVICE,4447 W KINZIE ST,60624
258321,20,775,"HANA FOOD & LIQUOR,INC.",737 W 51ST ST,60609
258363,13,NaN,"SERVICE METAL WORKS, INC",6933 W 59TH ST,60638
258423,42,NaN,WOODS LAWRENCE DESIGN STUDIO LLC,333 W HUBBARD ST  3K,60610
258441,43,NaN,LINCOLN PARK FINANCIAL GROUP,2755 N LINCOLN AVE,60614
258442,15,775,EL CHISME,4440 S WESTERN AVE,60609
258444,12,775,LA CABANITA INC,2104 S CALIFORNIA AVE,60608
258447,35,NaN,K-NAILS,2640 1/2 N MILWAUKEE AVE,60647
258449,41,NaN,UAL LOYALTY SERVICES INC,8550 W BRYN MAWR AVE  600,60631
258453,23,911,SEVILLA FASHION,5220 S PULASKI RD,60632
258487,42,NaN,PC EXPERTS INC,566 W LAKE ST  495,60661
25850,45,NaN,LASONS LABEL CO,5666 N NORTHWEST HWY 1ST,60646
258528,22,NaN,MILLER DISPOSAL,3344 S LAWNDALE AVE,60623
258657,6,NaN,LA WEIGHT LOSS CENTERS,728 E 87TH ST,60619
25866,31,NaN,TRADING POST #THREE INC,4225 W FULLERTON AVE,60639
258696,25,NaN,JOE'S VARIETY AUTO SUPPLY INC.,2238 W CERMAK RD,60608
258789,42,NaN,J.B. REALTY,535 N MICHIGAN AVE  206,60611
258836,42,638,COURTYARD BY MARRIOTT,165 E ONTARIO ST,60611
258853,20,NaN,A + CELLULAR,805 E 63RD ST,60637
