vid,make,model,year,fuel_type,owner
268,TOYOTA,CAMRY,2016,HYBRID,HASSAM INC
3274,TOYOTA,PRIUS,2013,HYBRID,SOPHIE TAXI LLC
2959,TOYOTA,CAMRY,2013,HYBRID,"MIDWEST CAB CO, INC"
635,TOYOTA,CAMRY,2012,HYBRID,JABOYE CORP.
112,TOYOTA,SIENNA,2018,GASOLINE,MCCAB XIV CORP.
2446,TOYOTA,CAMRY,2012,HYBRID,TASS INC
2104,TOYOTA,PRIUS,2015,HYBRID,MMM CAB CORP
3964,TOYOTA,PRIUS,2011,HYBRID,ATLAS LIONS HOLDINGS INC
1077,FORD,ESCAPE,2012,HYBRID,PLAYING POLO IN CHICAGO INC
5919,NISSAN,ALTIMA,2011,HYBRID,KOWSAR TAXI CORP
948,TOYOTA,CAMRY,2014,HYBRID,MESFIN INC
2687,TOYOTA,COROLLA,2016,GASOLINE,LUCKY 7 CAB COMPANY
615,TOYOTA,RAV4,2018,HYBRID,"AWRA AWSA, INC."
4915,TOYOTA,PRIUS,2016,HYBRID,BROWN EYES CAB CORP.
6140,TOYOTA,CAMRY,2013,HYBRID,LEMLEM EXPRESS INC.
6163,TOYOTA,CAMRY,2014,HYBRID,ALEKSANDER WISNIEWSKI
1133,FORD,ESCAPE,2012,HYBRID,"I & B MIDWEST ENTERPRISE, INC."
4772,TOYOTA,PRIUS,2015,HYBRID,"BOLAKO, INC"
129,FORD,FUSION,2015,HYBRID,MR TAXI 2 INC
1412,TOYOTA,PRIUS,2014,HYBRID,GSJ TAXI CO.
3581,TOYOTA,CAMRY,2011,HYBRID,TITO'S TAXI CO
2844,TOYOTA,CAMRY,2012,HYBRID,JKC TAXI CORP.
6514,TOYOTA,RAV4,2017,HYBRID,CARZAAR CO.
6645,TOYOTA,CAMRY,2016,HYBRID,SLOBOMIR KAPUR CORP
6233,FORD,ESCAPE,2012,HYBRID,CHICAGO SEVEN INC
5230,TOYOTA,CAMRY,2014,HYBRID,JAVIER DAVILA
4207,TOYOTA,CAMRY,2012,HYBRID,NORTOWN EXPRESS INC.
5449,FORD,ESCAPE,2012,HYBRID,LILLY CAB CORP
2171,TOYOTA,CAMRY,2014,HYBRID,DEFIANCE TAXI LLC
411,TOYOTA,CAMRY,2013,HYBRID,JMIKEMATT CORP
3065,TOYOTA,PRIUS,2011,HYBRID,JIWANI CAB CO
1290,TOYOTA,CAMRY,2013,HYBRID,DANIEL T. EGUALE
6236,DODGE,GRAND CARAVAN,2013,COMPRESSED NATURAL GAS,GOODBAR TAXI CORP II
165,TOYOTA,PRIUS,2015,HYBRID,IL 8 CORP
5694,TOYOTA,CAMRY,2018,GASOLINE,RAR CAB LLC
2837,TOYOTA,SIENNA,2019,GASOLINE,"WALTER TRANS, INC."
4157,TOYOTA,PRIUS,2014,HYBRID,CHICAGO MEDALLION TWO LLC.
2803,FORD,C-MAX,2013,HYBRID,MADISON CAB CORP.
5439,TOYOTA,CAMRY,2016,HYBRID,TEEMU CORPORATION
1331,TOYOTA,CAMRY,2014,HYBRID,NEW AMSTERDAM LEASING CORP.
3380,TOYOTA,SIENNA,2018,GASOLINE,HASAN & HOSAIN INC
2808,TOYOTA,PRIUS,2012,HYBRID,SAFE TAXI COMPANY
6201,TOYOTA,PRIUS,2013,HYBRID,CHOICE ENTERPRISE INC.
5296,FORD,FUSION,2016,HYBRID,CHICAGO SHUTTLE CORP.
1642,TOYOTA,PRIUS,2015,HYBRID,ARM TAXI INC.
3644,TOYOTA,CAMRY,2016,HYBRID,URU EXPRESS INC
1186,TOYOTA,PRIUS,2012,HYBRID,TAXALE TAXI INC
2308,TOYOTA,PRIUS,2013,HYBRID,FAST CAB COMPANY
6550,TOYOTA,CAMRY,2016,HYBRID,"TAXI MEDALLION GROUP, LLC-SERIES 34"
1212,TOYOTA,CAMRY,2017,HYBRID,YC20 LLC
2658,FORD,ESCAPE,2012,HYBRID,WHITE STAR TAXI INC
582,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO XIII, INC."
1498,TOYOTA,CAMRY,2015,HYBRID,SAFARI TAXI INC
2819,VPG,MV-1,2014,GASOLINE,PETE TAXI COMPANY
1148,TOYOTA,RAV4,2019,GASOLINE,KAMALUXE INC.
5303,TOYOTA,PRIUS,2014,HYBRID,TAXI MEDALLION GROUP LLC-SERIES XVI
2081,TOYOTA,CAMRY,2012,HYBRID,AMRIT CAB CO.
6304,TOYOTA,CAMRY,2016,HYBRID,CH. TAXI I CORP.
1003,TOYOTA,PRIUS,2012,HYBRID,ON TIME CAB COMPANY
6731,TOYOTA,CAMRY,2017,HYBRID,"TAXI MEDALLION GROUP, LLC-SERIES 34"
3874,TOYOTA,COROLLA,2018,GASOLINE,DRAKE USA INC
6643,TOYOTA,CAMRY,2017,HYBRID,CYRENAICA CORP
1644,DODGE,CARAVAN,2016,FLEX FUEL,GRASU CAB CORP.
2915,FORD,ESCAPE,2014,GASOLINE,GULAB TRANSPORTATION INC
2853,DODGE,CARAVAN,2015,FLEX FUEL,EFFI JOE INC.
2564,TOYOTA,CAMRY,2013,HYBRID,DEB CAB CO
287,TOYOTA,PRIUS,2015,HYBRID,KALOYAN B CO.
5043,TOYOTA,CAMRY,2012,HYBRID,SUNG HEE CAB CO.
3822,TOYOTA,CAMRY,2013,HYBRID,THE HIGHSIERRA INC
5504,FORD,ESCAPE,2012,HYBRID,SNOWBLIND CAB CORP
2930,TOYOTA,CAMRY,2014,HYBRID,ACCURATE TAXI INC
1272,TOYOTA,CAMRY,2013,HYBRID,SINGH TAXI CO
1250,TOYOTA,CAMRY,2019,HYBRID,ARBAZ ALINA INC
5280,TOYOTA,CAMRY,2014,HYBRID,"EAGLE EXPRESS, INC."
296,TOYOTA,CAMRY,2011,HYBRID,N. R. T. CAB CO
3967,TOYOTA,PRIUS,2014,HYBRID,CANICE INC
2654,TOYOTA,PRIUS,2013,HYBRID,AUJLA CAB CO
849,NISSAN,ALTIMA,2011,HYBRID,MEDALLION FUNDING CHICAGO CORP III
6763,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC-SERIES 38
6617,TOYOTA,CAMRY,2017,HYBRID,MEHCO INC.
563,HYUNDAI,ELANTRA,2018,GASOLINE,HYDRA CAB CORP
6100,TOYOTA,CAMRY,2011,HYBRID,"JOY CO., INC. I I"
2739,TOYOTA,CAMRY,2016,HYBRID,DARLING CAB CO
4964,TOYOTA,PRIUS,2011,HYBRID,SLSJETS II CAB CORP.
3670,TOYOTA,CAMRY,2013,HYBRID,N K CAB CO INC
3479,TOYOTA,CAMRY,2013,HYBRID,LEGESSE CAB CO
3077,FORD,ESCAPE,2012,HYBRID,SNOWBLIND CAB CORP
2183,TOYOTA,PRIUS,2015,HYBRID,FERIAL ASKAR
5693,TOYOTA,CAMRY,2013,HYBRID,CHIAROSCURO TRANSIT CORP.
2760,TOYOTA,CAMRY,2016,HYBRID,SAMSIM INC
6803,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC-SERIES 38
6554,TOYOTA,CAMRY,2012,HYBRID,FAIZAN EXPRESS INC.
2604,TOYOTA,CAMRY,2014,HYBRID,LESLEY CAB CO
6224,TOYOTA,CAMRY,2015,HYBRID,HAFIZ BILAL EXPRESS INC.
43,DODGE,CARAVAN,2016,FLEX FUEL,NECT 30 LLC
4265,TOYOTA,CAMRY,2011,HYBRID,ROCKY CAB INC
4155,TOYOTA,PRIUS,2012,HYBRID,ROBEAL INC
6739,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC - SERIES 36
4406,TOYOTA,CAMRY,2014,HYBRID,CHICAGO MEDALLION THREE LLC.
4289,TOYOTA,CAMRY,2015,HYBRID,MEASHO CAB CORP
3247,TOYOTA,CAMRY,2015,HYBRID,Z L R CORP
3050,TOYOTA,RAV4,2015,GASOLINE,TEDDY TRANSPORTATION INC.
3793,FORD,ESCAPE,2012,HYBRID,GYPSY CAB CORP.
5138,TOYOTA,RAV4,2016,GASOLINE,EAST BOUND CAB COMPANY
6729,HYUNDAI,ELANTRA,2018,GASOLINE,SAMOS CAB CORP
1883,TOYOTA,PRIUS,2013,HYBRID,ZILMETTA CAB INCORPORATED
5277,FORD,ESCAPE,2012,HYBRID,SNOWBLIND CAB CORP
2519,TOYOTA,PRIUS,2015,HYBRID,MARWILL CAB COMPANY
3057,TOYOTA,CAMRY,2014,HYBRID,HAFIZ BILAL EXPRESS INC.
4148,TOYOTA,SIENNA,2019,GASOLINE,PRECIOUS TRANSPORTATION COMPANY LLC
254,TOYOTA,PRIUS,2012,HYBRID,"TEWOLDE, INC."
5374,TOYOTA,PRIUS,2013,HYBRID,HASHIM TAXI CORP
1122,TOYOTA,CAMRY,2010,HYBRID,NS TRANSPORTATION INC
179,FORD,ESCAPE,2012,HYBRID,KING EDWARD CAB CORP.
6689,TOYOTA,PRIUS,2014,HYBRID,SIAM INCORPORATED I
5799,TOYOTA,PRIUS,2011,HYBRID,PEACE INC.
937,TOYOTA,CAMRY,2020,HYBRID,CHAKNAT TRANS INC
6480,TOYOTA,CAMRY,2014,HYBRID,RSA CAB CORP.
1451,FORD,C-MAX,2013,HYBRID,EC CHICAGO TAXI LLC
2616,TOYOTA,COROLLA,2015,GASOLINE,CORPORAL CAB CO
521,TOYOTA,CAMRY,2014,HYBRID,CHICAGO WINDY CITY INC
3096,DODGE,CARAVAN,2016,HYBRID,BIG CITY TAXI CORP.
4997,NISSAN,ALTIMA,2017,GASOLINE,RAVI EXPRESS INC.
4597,TOYOTA,CAMRY,2015,HYBRID,R K TAXI CORP
6113,TOYOTA,PRIUS,2014,HYBRID,AALA HAZRAT CAB CORP
1359,FORD,FUSION,2014,HYBRID,FRESH POWDER TAXI LLC
5452,TOYOTA,CAMRY,2014,HYBRID,LINJAKE INC.
2056,FORD,ESCAPE,2012,HYBRID,J & I CAB CORP
2617,FORD,FUSION,2014,HYBRID,SHIRAZ EXPRESS INC
6008,FORD,ESCAPE,2012,HYBRID,CHICAGO POLO VII INC.
4584,FORD,ESCAPE,2011,HYBRID,SIENNA ZONE CAB CO.
5235,TOYOTA,CAMRY,2012,HYBRID,NAGRA BROTHERS INC.
4455,TOYOTA,CAMRY,2014,HYBRID,THM CAB CORP.
6718,TOYOTA,CAMRY,2019,HYBRID,"MOON EXPRESS 1, INC."
2077,TOYOTA,CAMRY,2015,GASOLINE,"BOLBLIK, INC."
1244,MAZDA,MAZDA 3,2018,GASOLINE,YC21 LLC
1467,TOYOTA,CAMRY,2017,HYBRID,BAYARDOTOBAR INC
3843,TOYOTA,PRIUS,2014,HYBRID,SKY TAXI INC
4175,DODGE,CARAVAN,2013,FLEX FUEL,"LEMPIRA, INC."
6097,TOYOTA,RAV4,2017,GASOLINE,KWASEPO EXPRESS INC
5810,FORD,ESCAPE,2012,HYBRID,SLSJETS V CAB CORP.
1819,TOYOTA,PRIUS,2014,HYBRID,AWAN EXPRESS INC
1932,TOYOTA,CAMRY,2016,HYBRID,JITEN INC.
5609,TOYOTA,CAMRY,2012,HYBRID,ELSTON FOUR LLC
2176,HYUNDAI,ELANTRA,2018,GASOLINE,ZEUS CAB CORP.
6704,TOYOTA,CAMRY,2013,HYBRID,CARILLON TRANSIT LLC
1430,TOYOTA,CAMRY,2016,HYBRID,LUQMAN CORPORATION
5865,TOYOTA,PRIUS,2016,HYBRID,LUCKY SEVEN CHICAGO THREE INC.
2275,TOYOTA,CAMRY,2014,GASOLINE,KARR CAB COMPANY
3868,TOYOTA,CAMRY,2017,GASOLINE,"ILIRJAN, INC."
1178,TOYOTA,CAMRY,2016,HYBRID,"CHUN TRANSIT, INC."
2126,TOYOTA,PRIUS,2013,HYBRID,MACAVEL TRANS INC
5530,TOYOTA,CAMRY,2017,HYBRID,LAS PALMAS CAB CO INC
1311,TOYOTA,CAMRY,2015,GASOLINE,AOTMID CORP.
2605,TOYOTA,PRIUS,2015,HYBRID,ABEBE CORP
3167,NISSAN,ALTIMA,2011,HYBRID,FRANKLIN TAXI LLC
1818,TOYOTA,CAMRY,2014,HYBRID,FIRST CLASS TAXI CAB INC
588,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO XIII, INC."
4380,TOYOTA,CAMRY,2018,GASOLINE,WISE BEAT INC
3022,DODGE,CARAVAN,2010,FLEX FUEL,FEMDOT INC
1409,FORD,ESCAPE,2012,HYBRID,SNOWSTORM II HACKING CORP.
5716,FORD,FUSION,2014,HYBRID,MRS. TAXI INC
6061,FORD,ESCAPE,2012,HYBRID,J & I CAB CORP
4610,NISSAN,ALTIMA,2011,HYBRID,JNR III INC.
3015,TOYOTA,CAMRY,2014,HYBRID,TANAKA TRANS CORP.
1675,TOYOTA,CAMRY,2014,HYBRID,CIVIC CHICAGO INC.
3320,TOYOTA,PRIUS,2011,HYBRID,TIPU SULTAN CORP
4785,TOYOTA,RAV4,2017,HYBRID,MEMONA CAB CORP.
3365,TOYOTA,CAMRY,2012,HYBRID,"TANAKA TRANS CORP., II"
923,TOYOTA,PRIUS,2012,HYBRID,TIMBI CAB CO
6454,TOYOTA,CAMRY,2012,HYBRID,LIKISI INC.
5307,TOYOTA,CAMRY,2012,HYBRID,JOHN-AYISCO CORP
2907,TOYOTA,CAMRY,2015,HYBRID,MODHISH INC.
2119,TOYOTA,CAMRY,2013,HYBRID,SETARE 2 INC
714,TOYOTA,PRIUS,2016,HYBRID,JZG TRANSIT CO.
3324,TOYOTA,CAMRY,2013,HYBRID,AKAL CAB COMPANY
6945,TOYOTA,CAMRY,2012,HYBRID,TANAKA TRANS CORP.
5107,TOYOTA,PRIUS,2014,HYBRID,ILIRIA TAXI INC
6502,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO XVII, INC"
2052,TOYOTA,SCION,2015,GASOLINE,"ADRIANA TAXI CAB, CO"
4171,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC SERIESXXVI
5471,TOYOTA,PRIUS,2016,HYBRID,A. N. CAB CO. INC
6278,TOYOTA,PRIUS,2014,HYBRID,SCORPION CAB CO.
2184,TOYOTA,RAV4,2018,GASOLINE,GOALS TAXI INC
5800,TOYOTA,PRIUS,2014,HYBRID,SENAI TAXI CORP
2579,TOYOTA,PRIUS,2014,HYBRID,SANTORINI FIVE CAB CORP.
272,FORD,ESCAPE,2011,HYBRID,C K A CORP
5569,TOYOTA,CAMRY,2012,HYBRID,N.S.S. CAB CORPORATION
5389,TOYOTA,CAMRY,2014,HYBRID,BAZZI CAB COMPANY
5553,FORD,ESCAPE,2012,HYBRID,BROWN EYES CAB CORP.
2585,TOYOTA,CAMRY,2014,HYBRID,CHICAGO EXPRESS INC.
2283,TOYOTA,CAMRY,2014,HYBRID,EMIKISSA'S INC
6752,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC-SERIES 37
895,TOYOTA,PRIUS,2013,HYBRID,PEACE TAXICAB INC
1925,FORD,ESCAPE,2012,HYBRID,ACCORD CAB COMPANY LLC
4541,TOYOTA,RAV4,2013,GASOLINE,EXPERT CAB CO
6355,TOYOTA,PRIUS,2017,HYBRID,TOMMY & JERRY TAXI INC
1702,TOYOTA,CAMRY,2012,HYBRID,SARA ELIAS INC
5109,TOYOTA,CAMRY,2013,HYBRID,"PED 3, LLC"
4960,TOYOTA,CAMRY,2013,HYBRID,WEDEB CAB CO.
3190,TOYOTA,CAMRY,2016,HYBRID,FRICTION INCORPORATED
2846,TOYOTA,SCION,2013,GASOLINE,"BAHMAN CAB CO., INC."
4234,TOYOTA,CAMRY,2014,HYBRID,CHICAGO MEDALLION TWO LLC.
3072,TOYOTA,CAMRY,2012,HYBRID,PUNJAB ROADWAYS INC
229,TOYOTA,PRIUS,2013,HYBRID,IL 9 CORP
2920,TOYOTA,PRIUS,2012,HYBRID,TEGORBA CAB CORP
5021,TOYOTA,CAMRY,2014,HYBRID,GOLEMI TRANS INC
4082,NISSAN,SENTRA,2019,GASOLINE,AGAPH CAB CORP
4713,TOYOTA,PRIUS,2012,HYBRID,SONU INC.
5874,TOYOTA,CAMRY,2015,HYBRID,SERGEY CAB CORP
2336,TOYOTA,CAMRY,2013,HYBRID,LUBOK INC
1362,TOYOTA,SIENNA,2018,GASOLINE,SHEENA CORP
2629,TOYOTA,CAMRY,2011,HYBRID,MCCAB  IV CORP.
2136,TOYOTA,PRIUS,2014,HYBRID,MICHIALE CORP.
4540,DODGE,GRAND CARAVAN,2017,FLEX FUEL,ELSTON FOUR LLC
3237,TOYOTA,PRIUS,2012,HYBRID,AMR CAB CORP.
1714,VPG,MV-1,2012,COMPRESSED NATURAL GAS,AQUA ZONE CAB CO.
4777,TOYOTA,CAMRY,2014,HYBRID,CHATHA ENTERPRISES INC
4340,TOYOTA,CAMRY,2013,HYBRID,"WADOOD, INC"
1182,TOYOTA,SIENNA,2020,GASOLINE,YC19 LLC
4611,FORD,ESCAPE,2012,HYBRID,MOISTURE II HACKING CORP.
3202,TOYOTA,PRIUS,2014,HYBRID,TRAVELERS CAB COMPANY
1125,FORD,FUSION,2014,HYBRID,SAIL TAXI INC
6381,FORD,ESCAPE,2012,HYBRID,CHICAGO AUCTION CAB CO.
5866,TOYOTA,PRIUS,2016,HYBRID,LUCKY SEVEN CHICAGO THREE INC.
2565,TOYOTA,SIENNA,2016,GASOLINE,TOBIADE INC.
4165,NISSAN,ALTIMA,2011,HYBRID,SABREENA TAXI CO
2484,FORD,FUSION,2012,HYBRID,"ABRON CAB COMPANY, INC."
2205,TOYOTA,CAMRY,2014,HYBRID,SHABERA CORP
1611,TOYOTA,PRIUS,2014,HYBRID,RAINSTORM II HACKING CORP.
2696,FORD,ESCAPE,2012,HYBRID,J & I CAB CORP
6138,TOYOTA,PRIUS,2012,HYBRID,BRANDON INC.
1733,TOYOTA,CAMRY,2013,HYBRID,ROHEE CAB INC
2230,TOYOTA,COROLLA,2017,GASOLINE,CHICAGO CAB 2 CORP.
1622,TOYOTA,CAMRY,2015,HYBRID,VJOSA CAB CO.
3251,DODGE,GRAND CARAVAN,2017,FLEX FUEL,BESSIES CAB CORP
4187,TOYOTA,RAV4,2018,GASOLINE,AARON-VMT LLC
105,TOYOTA,CAMRY,2013,HYBRID,MCCAB X CORP.
3081,TOYOTA,CAMRY,2012,HYBRID,IDEAL CAB COMPANY
5497,TOYOTA,SIENNA,2017,GASOLINE,KOUROU CAB CORP
4479,FORD,FUSION,2018,HYBRID,ADAMS TAXI LLC
2806,FORD,C-MAX,2013,HYBRID,MADISON CAB CORP.
3478,NISSAN,SENTRA,2019,GASOLINE,AGAPH CAB CORP
2310,TOYOTA,CAMRY,2017,HYBRID,GEE GEE INC
2367,TOYOTA,CAMRY,2014,HYBRID,NEXTGEN TAXI I INC
2924,TOYOTA,PRIUS,2014,HYBRID,SARATOGA TAXI LLC
3347,FORD,ESCAPE,2012,HYBRID,GREEN EYES CAB CORP.
1885,TOYOTA,CAMRY,2017,HYBRID,OKIES CAB CORP.
5341,TOYOTA,PRIUS,2015,HYBRID,TAXI MEDALLION GROUP LLC SERIES II
1875,TOYOTA,SIENNA,2018,GASOLINE,MYKONOS CAB CORP.
3166,TOYOTA,SIENNA,2020,GASOLINE,FRANKLIN TAXI LLC
1147,TOYOTA,PRIUS,2016,HYBRID,CRAZY JEFFREY CAB CORP
324,TOYOTA,CAMRY,2014,HYBRID,EBUDOLA CAB CO
1381,FORD,C-MAX,2013,HYBRID,EC CHICAGO TAXI LLC
5517,TOYOTA,CAMRY,2014,HYBRID,"PASALIC, INC."
1464,TOYOTA,PRIUS,2015,HYBRID,JONHI CORP
2692,TOYOTA,RAV4,2016,GASOLINE,"HEE YOO, INC"
3295,TOYOTA,CAMRY,2015,GASOLINE,SHANDY DALLAS INC.
5712,TOYOTA,RAV4,2015,GASOLINE,MULTAN EXPRESS INC
3814,TOYOTA,PRIUS,2017,HYBRID,SENA & KENA INC.
2215,TOYOTA,CAMRY,2015,HYBRID,POTRERO INC
2395,TOYOTA,SIENNA,2019,GASOLINE,PARIKH ENTERPRISES I INC
2254,TOYOTA,PRIUS,2015,HYBRID,FERIGO TAXI INC
4716,TOYOTA,CAMRY,2014,HYBRID,SUMAR INC
2717,TOYOTA,CAMRY,2013,HYBRID,NBA TAXI INC II
3944,TOYOTA,CAMRY,2015,HYBRID,AYAAN ONE INC
810,TOYOTA,CAMRY,2015,HYBRID,CREATION CAB INC
5025,FORD,FUSION,2014,HYBRID,"CHRISS, INC."
3245,TOYOTA,CAMRY,2016,HYBRID,BIG CITY TAXI CORP.
5096,TOYOTA,CAMRY,2016,HYBRID,FOUR M EXPRESS INC
5434,TOYOTA,CAMRY,2012,HYBRID,MONTY CAB CO
1509,FORD,ESCAPE,2012,HYBRID,GYPSY CAB CORP.
416,FORD,ESCAPE,2012,HYBRID,CHICAGO SEVEN INC
1344,FORD,ESCAPE,2012,HYBRID,BARBIE IN CHICAGO CAB CORP
4622,TOYOTA,PRIUS,2013,HYBRID,"ACCELERATED TRANSPORTATION, CORP."
6050,TOYOTA,SIENNA,2019,GASOLINE,JONOKA CAB CO
2255,TOYOTA,CAMRY,2012,HYBRID,HARRY CAB CO
5628,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO VIII, INC."
1634,TOYOTA,CAMRY,2013,HYBRID,A.R.M.S. CAB CO.
4862,HONDA,CRV,2014,GASOLINE,MANGIB CORP.
5738,TOYOTA,CAMRY,2014,HYBRID,CHICAGO TAXI EXPRESS INC.
4865,TOYOTA,CAMRY,2014,HYBRID,IGBINOGHODUA J EDOMWONYI
3556,CHEVROLET,IMPALA,2011,FLEX FUEL,RODNEY ANDREWS
2663,TOYOTA,CAMRY,2013,HYBRID,"ANGELA TRANS, INC."
6170,HYUNDAI,ELANTRA,2018,GASOLINE,POSEIDON CAB CORP
5820,TOYOTA,CAMRY,2018,HYBRID,KGN CAB LLC
6903,TOYOTA,PRIUS,2013,HYBRID,TRI STATE CAB CORP.
1473,TOYOTA,CAMRY,2016,HYBRID,YC26 LLC
1419,TOYOTA,CAMRY,2018,HYBRID,B M K CORP.
3877,TOYOTA,PRIUS,2014,HYBRID,LUXOR INC
3004,TOYOTA,CAMRY,2016,HYBRID,NORTH CAB CO
6063,TOYOTA,CAMRY,2017,HYBRID,NIAZ & SONS INC
3679,TOYOTA,CAMRY,2013,HYBRID,RASHID A SHAIKH
1197,TOYOTA,CAMRY,2013,HYBRID,INARA ENTERPRISE INC
5456,TOYOTA,CAMRY,2014,HYBRID,A A CAB CO II
6042,FORD,ESCAPE,2012,HYBRID,3860 TAXI CORP
3643,TOYOTA,CAMRY,2014,HYBRID,KWIK CAB CORPORATION
6492,TOYOTA,PRIUS,2014,HYBRID,CHICAGO AUCTION CAB CO.
2299,TOYOTA,CAMRY,2016,HYBRID,ULTIMATE RIDE INC
3040,TOYOTA,CAMRY,2014,HYBRID,SAMRAZA INC
893,FORD,ESCAPE,2012,HYBRID,MEDALLION FUNDING CHICAGO CORP II
5310,TOYOTA,CAMRY,2013,HYBRID,NYAME BEKYERE INC.
5401,MERCURY,GRAND MARQUIS,2010,FLEX FUEL,JOSEPH E HANNA
1180,TOYOTA,PRIUS,2011,HYBRID,MAB CAB CO
5417,TOYOTA,CAMRY,2014,HYBRID,KAPO TAXI CORP
5597,TOYOTA,CAMRY,2012,HYBRID,AMODI CAB CORPORATION
2895,TOYOTA,PRIUS,2014,HYBRID,SLSJETS I CAB CORP.
6914,TOYOTA,PRIUS,2011,HYBRID,MASRI INC
3335,FORD,C-MAX,2013,HYBRID,TRIBECA TWO CAB CORP.
5742,FORD,ESCAPE,2012,HYBRID,CHICAGO POLO VII INC.
3961,TOYOTA,COROLLA,2018,GASOLINE,ARES CAB CORP.
2524,TOYOTA,SIENNA,2019,GASOLINE,P T K CAB CO
3924,FORD,ESCAPE,2012,HYBRID,SNOWBLIND CAB CORP
6519,TOYOTA,CAMRY,2019,HYBRID,GEELMAN CORP.
4601,FORD,ESCAPE,2012,HYBRID,MOISTURE II HACKING CORP.
6742,TOYOTA,CAMRY,2015,HYBRID,TASHA RIDE INC.
2591,TOYOTA,PRIUS,2014,HYBRID,A & S CAB CO INC
5881,TOYOTA,CAMRY,2015,HYBRID,POPO INC
4316,TOYOTA,PRIUS,2012,HYBRID,AIC EXPRESS INC.
2657,TOYOTA,PRIUS,2013,HYBRID,KEELER CAB CO
6393,TOYOTA,RAV4,2018,HYBRID,LALA TAXI CORP.
1734,TOYOTA,CAMRY,2013,HYBRID,RKJ CAB CO
1232,TOYOTA,RAV4,2020,HYBRID,KENNATT TRANSPORT INC
1698,TOYOTA,CAMRY,2016,HYBRID,BOULEVARD 1 CORP
13,TOYOTA,CAMRY,2012,HYBRID,ABDELKADER BOUABDALLAOUI
2292,TOYOTA,CAMRY,2014,HYBRID,G.F.G. CAB CO
6115,TOYOTA,CAMRY,2014,HYBRID,M A I CAB CO
5050,TOYOTA,CAMRY,2017,HYBRID,HI FI INC
40,FORD,ESCAPE,2012,HYBRID,TIPTOM TOO INC
2779,TOYOTA,CAMRY,2012,HYBRID,OAM INC
297,TOYOTA,PRIUS,2015,HYBRID,RAHIM TAXICAB INC
1126,TOYOTA,CAMRY,2013,HYBRID,AKAL TRANSPORT CORP
4810,TOYOTA,PRIUS,2013,HYBRID,"COKAB, INC."
5195,TOYOTA,PRIUS,2015,HYBRID,OSPON CORPORATION
6516,TOYOTA,PRIUS,2013,HYBRID,WELCOME TAXICAB INC
3810,FORD,FUSION,2014,HYBRID,FRESH POWDER TAXI LLC
4618,DODGE,CARAVAN,2016,GASOLINE,CHICAGO MEDALLION FOUR LLC.
2412,TOYOTA,CAMRY,2012,HYBRID,MALIK ENTERPRISES INC
1893,TOYOTA,COROLLA,2018,GASOLINE,ARES CAB CORP.
1327,NISSAN,ALTIMA,2011,HYBRID,GOOD CAB CORP.
4733,TOYOTA,CAMRY,2014,HYBRID,CHICAGO MEDALLION FOUR LLC.
775,TOYOTA,CAMRY,2012,HYBRID,BIRCHWOOD CAB CO.
3449,TOYOTA,CAMRY,2018,HYBRID,AMERICAN RIDER CAB CO
2856,TOYOTA,CAMRY,2016,HYBRID,1 SUPER STAR CAB CO
2322,VPG,MV-1,2014,GASOLINE,MNSRRA CAB INC
1434,TOYOTA,PRIUS,2013,HYBRID,GSJ TAXI CO.
1082,FORD,ESCAPE,2012,HYBRID,MERCIFUL GOD LLC
5768,HYUNDAI,ELANTRA,2018,GASOLINE,HYDRA CAB CORP
2339,TOYOTA,CAMRY,2014,HYBRID,ASSETS INVESTMENT INC
1720,TOYOTA,CAMRY,2014,HYBRID,KASHIF INC.
4242,TOYOTA,CAMRY,2017,HYBRID,CHICAGO MEDALLION TWO LLC.
3490,TOYOTA,CAMRY,2019,HYBRID,SEVEN STAR RIDER CORPORATION
4741,DODGE,CARAVAN,2016,GASOLINE,CHICAGO MEDALLION FOUR LLC.
2155,TOYOTA,PRIUS,2014,HYBRID,CHICAB TWO INC
2139,TOYOTA,PRIUS,2013,HYBRID,CHICAB ONE INC
4110,TOYOTA,CAMRY,2016,HYBRID,SHOTOR CAB CO
6243,FORD,C-MAX,2013,HYBRID,MEREBU INC
1285,TOYOTA,CAMRY,2014,HYBRID,"ST & MT,  INC"
3879,TOYOTA,CAMRY,2014,HYBRID,"BOBCY, INC."
3405,VPG,MV-1,2014,FLEX FUEL,NOBLE CAB CO
2526,TOYOTA,CAMRY,2013,HYBRID,MIKA CAB CO INC
46,TOYOTA,CAMRY,2016,HYBRID,MONICA CORP
3493,TOYOTA,CAMRY,2018,HYBRID,RAS CAB CO
6491,TOYOTA,CAMRY,2012,HYBRID,SETARE INC.
2675,FORD,ESCAPE,2011,HYBRID,MCCAB  IV CORP.
